bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.152,0.9522,-0.081075,-0.03041,0.039462,1.00753938535037,1.7924606118903,strong
0.1273,0.9575,-0.091969,-0.030035,0.046138,1.00867970706559,1.89132029509352,strong
0.1096,0.9615,-0.098798,-0.029244,0.050402,1.00986243178738,1.99013756784887,strong
0.093,0.9655,-0.106423,-0.028781,0.054418,1.0103263010373,2.0896737009699,strong
0.0805,0.969,-0.112067,-0.028191,0.056863,1.01034769945261,2.18965229897115,strong
0.0684,0.9722,-0.117957,-0.027762,0.059556,1.01011389380852,2.28988610097052,strong
0.0581,0.9749,-0.123171,-0.027223,0.061884,1.00987756211344,2.39012243851578,strong
0.0493,0.9773,-0.127674,-0.026831,0.063835,1.00949908051071,2.49050092054038,strong
0.2954,1.0134,0.201859,-0.040055,-0.103388,1.33115996268052,1.86884003782502,weak
0.253,1.0225,0.179089,-0.029541,-0.090478,1.33677720778663,1.9632227916012,weak
0.2175,1.0313,0.160153,-0.019603,-0.080754,1.34072646141926,2.0592735414471,weak
0.1878,1.0396,0.144332,-0.01058,-0.073208,1.34348259793437,2.1565174031078,weak
0.1626,1.0471,0.130954,-0.002572,-0.067093,1.34535856734062,2.2546414318434,weak
0.1411,1.0539,0.119486,0.004433,-0.061909,1.34657649060748,2.35342351204369,weak
0.1226,1.0599,0.109543,0.010509,-0.057364,1.34731441265092,2.45268558820163,weak
0.1064,1.0652,0.10087,0.015752,-0.053297,1.34769080878212,2.55230919025645,weak
0.0922,1.0697,0.09329,0.020257,-0.049625,1.34781530391075,2.65218469860225,weak
0.1616,1.0322,-0.144985,0.05226,-0.04093,1.33155948334466,1.66844051565877,weak
0.1305,1.04,-0.151547,0.061788,-0.036502,1.33595485105386,1.76404515141058,weak
0.1059,1.0466,-0.15671,0.074251,-0.03392,1.33926940236893,1.86073059843627,weak
0.0871,1.0524,-0.159352,0.08355,-0.032912,1.34166883775858,1.95833116126516,weak
0.0725,1.0575,-0.161196,0.088766,-0.032782,1.34336073911915,2.0566392631438,weak
